,home_team,away_team,day_night,attendance,cLI,year,date,game_number
76825,NYM,CHC,N,55000,0.94,2000,2000-03-29,1
21457,CHC,NYM,N,55000,0.95,2000,2000-03-30,1
55526,ANA,NYY,N,42704,1.0,2000,2000-04-03,1
123664,MON,LAD,N,51249,0.98,2000,2000-04-03,1
106632,STL,CHC,D,48156,1.0,2000,2000-04-03,1
115146,TEX,CHW,D,49332,1.03,2000,2000-04-03,1
64048,FLA,SFG,N,35101,0.99,2000,2000-04-03,1
4259,OAK,DET,N,53498,1.06,2000,2000-04-03,1
12939,BAL,CLE,D,46902,0.98,2000,2000-04-03,1
72565,MIN,TBD,N,43830,0.98,2000,2000-04-03,1
119407,TOR,KCR,D,40898,1.0,2000,2000-04-03,1
76828,NYM,SDP,D,52308,0.95,2000,2000-04-03,2
8682,ATL,COL,D,42255,0.92,2000,2000-04-03,1
29975,CIN,MIL,D,55596,1.02,2000,2000-04-03,1
89598,PIT,HOU,N,54399,1.01,2000,2000-04-04,1
72566,MIN,TBD,N,7020,0.96,2000,2000-04-04,2
8683,ATL,COL,N,26132,0.98,2000,2000-04-04,2
55527,ANA,NYY,N,25818,1.02,2000,2000-04-04,2
4260,OAK,DET,N,10188,0.99,2000,2000-04-04,2
0,ARI,PHI,N,44298,0.97,2000,2000-04-04,1
123665,MON,LAD,N,12143,0.87,2000,2000-04-04,2
102373,SEA,BOS,N,45552,1.04,2000,2000-04-04,1
29976,CIN,MIL,N,16761,0.98,2000,2000-04-04,2
115147,TEX,CHW,N,29418,1.08,2000,2000-04-04,2
64049,FLA,SFG,N,9524,0.97,2000,2000-04-04,2
119408,TOR,KCR,N,13514,1.0,2000,2000-04-04,2
123666,MON,LAD,N,8867,0.85,2000,2000-04-05,3
119409,TOR,KCR,N,14957,1.08,2000,2000-04-05,3
64050,FLA,SFG,N,8365,1.01,2000,2000-04-05,3
55528,ANA,NYY,N,24560,0.91,2000,2000-04-05,3
72567,MIN,TBD,N,7089,1.0,2000,2000-04-05,3
8684,ATL,COL,N,30008,0.92,2000,2000-04-05,3
76829,NYM,SDP,N,17585,1.02,2000,2000-04-05,3
89599,PIT,HOU,N,12208,0.98,2000,2000-04-05,2
4261,OAK,DET,D,10229,0.99,2000,2000-04-05,3
12940,BAL,CLE,N,33833,0.96,2000,2000-04-05,2
102374,SEA,BOS,N,29242,0.99,2000,2000-04-05,2
106633,STL,CHC,N,38908,1.05,2000,2000-04-05,2
29977,CIN,MIL,N,23059,0.96,2000,2000-04-05,3
115148,TEX,CHW,D,25544,1.12,2000,2000-04-05,3
1,ARI,PHI,N,29291,0.97,2000,2000-04-05,2
76830,NYM,SDP,N,17482,1.0,2000,2000-04-06,4
102375,SEA,BOS,N,25121,1.04,2000,2000-04-06,3
123667,MON,LAD,N,9121,0.93,2000,2000-04-06,4
106634,STL,CHC,D,40589,1.08,2000,2000-04-06,3
115149,TEX,CHW,N,28466,1.09,2000,2000-04-06,4
72568,MIN,TBD,D,8763,1.05,2000,2000-04-06,4
89600,PIT,HOU,D,11860,0.89,2000,2000-04-06,3
119410,TOR,KCR,D,14336,1.02,2000,2000-04-06,4
2,ARI,PHI,N,28774,1.02,2000,2000-04-06,3
29978,CIN,MIL,N,20909,0.91,2000,2000-04-06,4
64051,FLA,SFG,D,7741,0.89,2000,2000-04-06,4
12941,BAL,CLE,N,35181,1.0,2000,2000-04-06,3
4262,OAK,CHW,N,10549,1.08,2000,2000-04-07,4
3,ARI,PIT,N,32536,1.07,2000,2000-04-07,4
115150,TEX,TOR,N,31619,1.05,2000,2000-04-07,5
110892,TBD,CLE,N,40329,0.99,2000,2000-04-07,1
106635,STL,MIL,N,33089,1.17,2000,2000-04-07,4
29979,CIN,CHC,N,36383,0.91,2000,2000-04-07,5
102376,SEA,NYY,N,40827,1.07,2000,2000-04-07,4
12942,BAL,DET,N,39415,1.04,2000,2000-04-07,4
47012,HOU,PHI,N,41583,0.97,2000,2000-04-07,1
76831,NYM,LAD,N,27791,0.9,2000,2000-04-07,5
51270,KCR,MIN,D,40474,1.16,2000,2000-04-07,1
123668,MON,SDP,N,12260,0.95,2000,2000-04-07,5
8685,ATL,SFG,N,35343,0.99,2000,2000-04-07,4
64052,FLA,COL,N,13803,0.98,2000,2000-04-07,5
55529,ANA,BOS,N,30412,0.99,2000,2000-04-07,4
12943,BAL,DET,D,42547,1.08,2000,2000-04-08,5
29980,CIN,CHC,D,37151,0.85,2000,2000-04-08,6
4263,OAK,CHW,D,13125,1.04,2000,2000-04-08,5
110893,TBD,CLE,D,30177,0.99,2000,2000-04-08,2
102377,SEA,NYY,D,45261,1.1,2000,2000-04-08,5
4,ARI,PIT,D,33298,1.02,2000,2000-04-08,5
55530,ANA,BOS,N,27369,0.99,2000,2000-04-08,5
47013,HOU,PHI,D,39018,0.93,2000,2000-04-08,2
64053,FLA,COL,N,20077,1.02,2000,2000-04-08,6
76832,NYM,LAD,D,37814,0.98,2000,2000-04-08,6
115151,TEX,TOR,N,37128,1.05,2000,2000-04-08,6
8686,ATL,SFG,N,35938,0.95,2000,2000-04-08,5
51271,KCR,MIN,D,17133,1.18,2000,2000-04-08,2
123669,MON,SDP,D,13528,0.92,2000,2000-04-08,6
106636,STL,MIL,D,40909,1.14,2000,2000-04-08,5
29981,CIN,CHC,D,37798,0.93,2000,2000-04-09,7
102378,SEA,NYY,D,45488,1.06,2000,2000-04-09,6
